genus,species,allo_var,family,a,b,cf,name,region
Abies,pinsapo,bt,Pinaceae,-2.52726,2.31499,1.023030772,Malaga,ES-MA
Abies,pinsapo,bs,Pinaceae,-3.77566,2.46487,1.034532802,Malaga,ES-MA
Alnus,glutinosa,bt,Betulaceae,-0.824827,2.9009,1.045101805,Girona,ES-GI
Alnus,glutinosa,bs,Betulaceae,-1.37963,2.98387,1.086458616,Girona,ES-GI
Alnus,glutinosa,bf,Betulaceae,-3.00803,2.44689,1.144503933,Girona,ES-GI
Alnus,glutinosa,br,Betulaceae,-2.09999,2.16573,1.017925073,Girona,ES-GI
Betula,NA,br,Betulaceae,-2.41805,2.01124,1.084579561,Lugo,ES-GA
Betula,NA,bf,Betulaceae,-3.28444,2.59452,1.07744844,Lugo,ES-GA
Betula,NA,bs,Betulaceae,-2.09231,2.3256,1.013062799,Lugo,ES-GA
Betula,NA,bt,Betulaceae,-1.60855,2.26855,1.007836674,Lugo,ES-GA
Castanea,sativa,bs,Fagaceae,-2.43261,2.14736,1.033258428,Caceres,ES-CC
Castanea,sativa,bs,Fagaceae,-2.43261,2.14736,1.033258428,Malaga,ES-MA
Castanea,sativa,bt,Fagaceae,-1.70831,2.21544,1.025214851,Caceres,ES-CC
Castanea,sativa,bt,Fagaceae,-1.70831,2.21544,1.025214851,Malaga,ES-MA
Castanea,sativa,br,Fagaceae,-3.97491,2.83892,1.010214202,Caceres,ES-CC
Castanea,sativa,br,Fagaceae,-3.97491,2.83892,1.010214202,Malaga,ES-MA
Ceratonia,siliqua,br,Fabaceae,-1.03055,2.99274,1.036413389,Malaga,ES-MA
Ceratonia,siliqua,bt,Fabaceae,-1.51118,2.16178,1.05214413,Malaga,ES-MA
Ceratonia,siliqua,bf,Fabaceae,-2.19442,2.62588,1.064766353,Malaga,ES-MA
Ceratonia,siliqua,bs,Fabaceae,-2.01208,2.99344,1.02287234,Malaga,ES-MA
Erica,arborea,bt,Ericaceae,-0.949661,2.00644,1.051297441,Santa Cruz de Tenerife,ES-TF
Erica,arborea,bs,Ericaceae,-1.8135,2.05303,1.055697266,Santa Cruz de Tenerife,ES-TF
Eucalyptus,NA,bf,Myrtaceae,-2.05864,2.61762,1.057122694,Huelva,ES-H
Eucalyptus,NA,bt,Myrtaceae,-1.33002,2.19404,1.012536239,Huelva,ES-H
Fagus,sylvatica,bt,Fagaceae,-1.84548,2.3706,1.014818447,Navarra,ES-NC
Fagus,sylvatica,bt,Fagaceae,-1.84548,2.3706,1.014818447,Cantabria,ES-S
Fagus,sylvatica,br,Fagaceae,-1.72224,2.25755,1.111464078,Navarra,ES-NC
Fagus,sylvatica,br,Fagaceae,-1.72224,2.25755,1.111464078,Cantabria,ES-S
Fagus,sylvatica,bs,Fagaceae,-1.63732,2.21464,1.027449275,Navarra,ES-NC
Fagus,sylvatica,bs,Fagaceae,-1.63732,2.21464,1.027449275,Cantabria,ES-S
Fraxinus,NA,bs,Oleaceae,-1.42476,2.9494,1.05972484,Girona,ES-GI
Fraxinus,NA,bs,Oleaceae,-1.42476,2.9494,1.05972484,Cadiz,ES-CA
Fraxinus,NA,br,Oleaceae,-1.02234,2.98752,1.050129156,Girona,ES-GI
Fraxinus,NA,br,Oleaceae,-1.02234,2.98752,1.050129156,Cadiz,ES-CA
Fraxinus,NA,bt,Oleaceae,-1.47166,2.21865,1.028426554,Girona,ES-GI
Fraxinus,NA,bt,Oleaceae,-1.47166,2.21865,1.028426554,Cadiz,ES-CA
Ilex,canariensis,bt,Aquifoliaceae,-0.637183,2.96456,1.026006655,Santa Cruz de Tenerife,ES-TF
Ilex,canariensis,bs,Aquifoliaceae,-1.17012,2.93218,1.046187107,Santa Cruz de Tenerife,ES-TF
Juniperus,oxycedrus,bt,Cupressaceae,-0.520337,2.29201,1.049397619,Malaga,ES-MA
Juniperus,oxycedrus,br,Cupressaceae,-2.2799,2.70033,1.089079032,Malaga,ES-MA
Juniperus,phoenicea,br,Cupressaceae,-1.10127,2.60599,1.057220343,Malaga,ES-MA
Juniperus,phoenicea,bt,Cupressaceae,-0.605689,2.69417,1.000125683,Malaga,ES-MA
Juniperus,thurifera,br,Cupressaceae,-1.68253,2.73984,1.046535201,Guadalajara,ES-GU
Juniperus,thurifera,bf,Cupressaceae,-2.48528,2.68286,1.051057653,Guadalajara,ES-GU
Juniperus,thurifera,bs,Cupressaceae,-1.89714,2.95148,1.020308607,Guadalajara,ES-GU
Juniperus,thurifera,bt,Cupressaceae,-1.48238,2.03163,1.020416167,Guadalajara,ES-GU
Laurus,azorica,bt,Lauraceae,-1.92595,2.49131,1.016416195,Santa Cruz de Tenerife,ES-TF
Laurus,azorica,bs,Lauraceae,-2.96854,2.57608,1.024932426,Santa Cruz de Tenerife,ES-TF
Myrica,faya,bs,Myricaceae,-1.67388,2.02138,1.05839952,Santa Cruz de Tenerife,ES-TF
Myrica,faya,bt,Myricaceae,-1.17881,2.18018,1.021956606,Santa Cruz de Tenerife,ES-TF
Olea,europaea,bs,Oleaceae,-1.0421,2.60779,1.051354986,Cadiz,ES-CA
Olea,europaea,br,Oleaceae,-2.33764,2.11152,1.059942712,Cadiz,ES-CA
Olea,europaea,bt,Oleaceae,-0.943709,2.94124,1.030076403,Cadiz,ES-CA
Olea,europaea,bf,Oleaceae,-3.52781,2.53326,1.06813902,Cadiz,ES-CA
Pinus,canariensis,bt,Pinaceae,-3.04507,2.66892,1.010090439,Santa Cruz de Tenerife,ES-TF
Pinus,canariensis,bs,Pinaceae,-3.05487,2.59425,1.00963517,Santa Cruz de Tenerife,ES-TF
Pinus,canariensis,br,Pinaceae,-4.61516,2.72887,1.045570602,Santa Cruz de Tenerife,ES-TF
Pinus,halepensis,bs,Pinaceae,-2.51839,2.13609,1.027116061,Albacete,ES-AB
Pinus,halepensis,bt,Pinaceae,-2.0939,2.20988,1.011563233,Albacete,ES-AB
Pinus,halepensis,br,Pinaceae,-3.68133,2.29823,1.129350681,Albacete,ES-AB
Pinus,nigra,bs,Pinaceae,-3.14006,2.4975,1.012207932,Guadalajara,ES-GU
Pinus,nigra,bt,Pinaceae,-2.7773,2.51564,1.009074759,Guadalajara,ES-GU
Pinus,nigra,br,Pinaceae,-3.76193,2.38784,1.016193382,Guadalajara,ES-GU
Pinus,pinaster,bs,Pinaceae,-3.43957,2.56636,1.018523408,Ciudad Real,ES-CR
Pinus,pinaster,bs,Pinaceae,-3.43957,2.56636,1.018523408,Guadalajara,ES-GU
Pinus,pinaster,br,Pinaceae,-3.85184,2.37592,1.012918761,Ciudad Real,ES-CR
Pinus,pinaster,br,Pinaceae,-3.85184,2.37592,1.012918761,Guadalajara,ES-GU
Pinus,pinaster,bt,Pinaceae,-3.00347,2.49641,1.015163378,Ciudad Real,ES-CR
Pinus,pinaster,bt,Pinaceae,-3.00347,2.49641,1.015163378,Guadalajara,ES-GU
Pinus,pinea,bf,Pinaceae,-4.03904,2.15862,1.046166675,Valladolid,ES-VA
Pinus,pinea,bf,Pinaceae,-4.03904,2.15862,1.046166675,Huelva,ES-H
Pinus,pinea,br,Pinaceae,-4.01758,2.47024,1.019408249,Valladolid,ES-VA
Pinus,pinea,br,Pinaceae,-4.01758,2.47024,1.019408249,Huelva,ES-H
Pinus,pinea,bs,Pinaceae,-3.36491,2.52494,1.020128158,Valladolid,ES-VA
Pinus,pinea,bs,Pinaceae,-3.36491,2.52494,1.020128158,Huelva,ES-H
Pinus,pinea,bt,Pinaceae,-2.18117,2.42414,1.03569671,Valladolid,ES-VA
Pinus,pinea,bt,Pinaceae,-2.18117,2.42414,1.03569671,Huelva,ES-H
Pinus,radiata,br,Pinaceae,-2.78485,2.14449,1.049074917,Lugo,ES-GA
Pinus,radiata,bf,Pinaceae,-5.03445,2.05803,1.204128533,Lugo,ES-GA
Pinus,radiata,bt,Pinaceae,-2.61093,2.48739,1.018852146,Lugo,ES-GA
Pinus,radiata,bs,Pinaceae,-3.02878,2.56358,1.020216646,Lugo,ES-GA
Pinus,sylvestris,bf,Pinaceae,-2.36531,2.5099,1.150820206,Segovia,ES-SG
Pinus,sylvestris,bf,Pinaceae,-2.36531,2.5099,1.150820206,Madrid,ES-M
Pinus,sylvestris,bt,Pinaceae,-2.50275,2.41194,1.030945761,Segovia,ES-SG
Pinus,sylvestris,bt,Pinaceae,-2.50275,2.41194,1.030945761,Madrid,ES-M
Pinus,sylvestris,br,Pinaceae,-4.56044,2.62841,1.04103846,Segovia,ES-SG
Pinus,sylvestris,br,Pinaceae,-4.56044,2.62841,1.04103846,Madrid,ES-M
Pinus,sylvestris,bs,Pinaceae,-3.80519,2.70808,1.043097387,Segovia,ES-SG
Pinus,sylvestris,bs,Pinaceae,-3.80519,2.70808,1.043097387,Madrid,ES-M
Pinus,uncinata,bs,Pinaceae,-3.44774,2.70666,1.035992786,Girona,ES-GI
Pinus,uncinata,bt,Pinaceae,-1.86138,2.31611,1.032170494,Girona,ES-GI
Pinus,uncinata,br,Pinaceae,-4.50582,2.7558,1.039253111,Girona,ES-GI
Populus,euramericana,bt,Salicaceae,-2.94077,2.56677,1.002924046,Salamanca,ES-SA
Populus,euramericana,bt,Salicaceae,-2.94077,2.56677,1.002924046,Segovia,ES-SG
Populus,euramericana,bt,Salicaceae,-2.94077,2.56677,1.002924046,Soria,ES-SO
Populus,euramericana,bs,Salicaceae,-3.15383,2.53766,1.009638246,Salamanca,ES-SA
Populus,euramericana,bs,Salicaceae,-3.15383,2.53766,1.009638246,Segovia,ES-SG
Populus,euramericana,bs,Salicaceae,-3.15383,2.53766,1.009638246,Soria,ES-SO
Populus,euramericana,bf,Salicaceae,-3.36508,2.5955,1.116033928,Salamanca,ES-SA
Populus,euramericana,bf,Salicaceae,-3.36508,2.5955,1.116033928,Segovia,ES-SG
Populus,euramericana,bf,Salicaceae,-3.36508,2.5955,1.116033928,Soria,ES-SO
Populus,euramericana,br,Salicaceae,-5.00204,2.82049,1.035386355,Salamanca,ES-SA
Populus,euramericana,br,Salicaceae,-5.00204,2.82049,1.035386355,Segovia,ES-SG
Populus,euramericana,br,Salicaceae,-5.00204,2.82049,1.035386355,Soria,ES-SO
Quercus,canariensis,bf,Fagaceae,-4.5692,2.66513,1.178640518,Cadiz,ES-CA
Quercus,canariensis,br,Fagaceae,-4.1867,2.58308,1.07318661,Cadiz,ES-CA
Quercus,canariensis,bt,Fagaceae,-1.40683,2.111,1.063804219,Cadiz,ES-CA
Quercus,canariensis,bs,Fagaceae,-0.820331,2.7342,1.0456918,Cadiz,ES-CA
Quercus,faginea,br,Fagaceae,-3.09335,2.34356,1.057619981,Guadalajara,ES-GU
Quercus,faginea,bs,Fagaceae,-2.88755,2.29324,1.017924881,Guadalajara,ES-GU
Quercus,faginea,bf,Fagaceae,-3.98028,2.96752,1.053886159,Guadalajara,ES-GU
Quercus,faginea,bt,Fagaceae,-2.89305,2.52426,1.014581997,Guadalajara,ES-GU
Quercus,ilex,bs,Fagaceae,-1.99607,2.01754,1.038099128,Caceres,ES-CC
Quercus,ilex,bs,Fagaceae,-1.99607,2.01754,1.038099128,Madrid,ES-M
Quercus,ilex,bs,Fagaceae,-1.99607,2.01754,1.038099128,Toledo,ES-TO
Quercus,ilex,br,Fagaceae,-0.730281,2.7893,1.131330855,Caceres,ES-CC
Quercus,ilex,br,Fagaceae,-0.730281,2.7893,1.131330855,Madrid,ES-M
Quercus,ilex,br,Fagaceae,-0.730281,2.7893,1.131330855,Toledo,ES-TO
Quercus,ilex,bf,Fagaceae,-4.13268,2.97313,1.098620408,Caceres,ES-CC
Quercus,ilex,bf,Fagaceae,-4.13268,2.97313,1.098620408,Madrid,ES-M
Quercus,ilex,bf,Fagaceae,-4.13268,2.97313,1.098620408,Toledo,ES-TO
Quercus,ilex,bt,Fagaceae,-2.31596,2.47745,1.032724671,Caceres,ES-CC
Quercus,ilex,bt,Fagaceae,-2.31596,2.47745,1.032724671,Madrid,ES-M
Quercus,ilex,bt,Fagaceae,-2.31596,2.47745,1.032724671,Toledo,ES-TO
Quercus,pyrenaica,bt,Fagaceae,-2.59695,2.53453,1.031055564,La Rioja,ES-LO
Quercus,pyrenaica,bt,Fagaceae,-2.59695,2.53453,1.031055564,Madrid,ES-M
Quercus,pyrenaica,bt,Fagaceae,-2.59695,2.53453,1.031055564,Segovia,ES-SG
Quercus,pyrenaica,bt,Fagaceae,-2.59695,2.53453,1.031055564,Caceres,ES-CC
Quercus,pyrenaica,br,Fagaceae,-2.4543,2.13346,1.029751077,La Rioja,ES-LO
Quercus,pyrenaica,br,Fagaceae,-2.4543,2.13346,1.029751077,Madrid,ES-M
Quercus,pyrenaica,br,Fagaceae,-2.4543,2.13346,1.029751077,Segovia,ES-SG
Quercus,pyrenaica,br,Fagaceae,-2.4543,2.13346,1.029751077,Caceres,ES-CC
Quercus,robur,br,Fagaceae,-2.46349,2.15149,1.087469812,Lugo,ES-GA
Quercus,robur,bf,Fagaceae,-3.69674,2.73143,1.043665094,Lugo,ES-GA
Quercus,robur,bt,Fagaceae,-2.30619,2.50077,1.016040933,Lugo,ES-GA
Quercus,robur,bs,Fagaceae,-2.63669,2.49279,1.020576923,Lugo,ES-GA
Quercus,suber,bt,Fagaceae,-3.36627,2.60685,1.090678371,Cadiz,ES-CA
Quercus,suber,bf,Fagaceae,-6.05826,2.14483,1.397912606,Cadiz,ES-CA
Quercus,suber,br,Fagaceae,-2.81593,2.07774,1.065627252,Cadiz,ES-CA
Quercus,suber,bs,Fagaceae,-3.01942,2.25213,1.085626401,Cadiz,ES-CA
