genus,species,family,a,b,cf,name,region,branch_size
Castanea,sativa,Fagaceae,-7.80901,2.49096,1.109127793,Malaga,ES-MA,> 7 cm
Pinus,pinaster,Pinaceae,-23.0418,2.52359,1.053986595,Guadalajara,ES-GU,> 7 cm
Fraxinus,NA,Oleaceae,-5.4098,2.84214,1.256173786,Cadiz,ES-CA,> 7 cm
Populus,euramericana,Salicaceae,-12.0573,2.34719,1.179307586,Segovia,ES-SG,> 7 cm
Olea,europaea,Oleaceae,-4.65302,2.68734,1.199816819,Cadiz,ES-CA,> 7 cm
Pinus,pinaster,Pinaceae,-23.0418,2.52359,1.053986595,Ciudad Real,ES-CR,> 7 cm
Pinus,nigra,Pinaceae,-13.8099,2.63179,1.58260721,Guadalajara,ES-GU,> 7 cm
Juniperus,thurifera,Cupressaceae,-13.4535,2.6002,1.113720789,Guadalajara,ES-GU,> 7 cm
Fagus,sylvatica,Fagaceae,-10.811,2.08961,1.218989006,Navarra,ES-NC,> 7 cm
Castanea,sativa,Fagaceae,-7.80901,2.49096,1.109127793,Caceres,ES-CC,> 7 cm
Pinus,canariensis,Pinaceae,-11.6241,2.28166,1.378343212,Santa Cruz de Tenerife,ES-TF,> 7 cm
Laurus,azorica,Lauraceae,-3.98432,2.54256,1.333064771,Santa Cruz de Tenerife,ES-TF,> 7 cm
Populus,euramericana,Salicaceae,-12.0573,2.34719,1.179307586,Soria,ES-SO,> 7 cm
Alnus,glutinosa,Betulaceae,-7.21999,2.74362,1.242605469,Girona,ES-GI,> 7 cm
Abies,pinsapo,Pinaceae,-16.252,2.39755,1.114112993,Malaga,ES-MA,> 7 cm
Betula,NA,Betulaceae,-7.84245,2.25429,1.262901517,Lugo,ES-GA,> 7 cm
Erica,arborea,Ericaceae,-6.92178,2.38826,1.363444667,Santa Cruz de Tenerife,ES-TF,> 7 cm
Quercus,ilex,Fagaceae,-5.347,2.04363,1.158078588,Caceres,ES-CC,> 7 cm
Myrica,faya,Myricaceae,-6.67499,2.49039,1.074460425,Santa Cruz de Tenerife,ES-TF,> 7 cm
Quercus,ilex,Fagaceae,-5.347,2.04363,1.158078588,Toledo,ES-TO,> 7 cm
Fagus,sylvatica,Fagaceae,-10.811,2.08961,1.218989006,Cantabria,ES-S,> 7 cm
Quercus,canariensis,Fagaceae,-3.78626,2.42751,1.427243957,Cadiz,ES-CA,> 7 cm
Quercus,ilex,Fagaceae,-5.347,2.04363,1.158078588,Madrid,ES-M,> 7 cm
Pinus,pinea,Pinaceae,-4.33663,2.59988,1.155294531,Valladolid,ES-VA,> 7 cm
Pinus,pinea,Pinaceae,-4.33663,2.59988,1.155294531,Huelva,ES-H,> 7 cm
Quercus,faginea,Fagaceae,-13.9784,2.21419,1.560019088,Guadalajara,ES-GU,> 7 cm
Ceratonia,siliqua,Fabaceae,-4.98516,2.82065,1.219044244,Malaga,ES-MA,> 7 cm
Pinus,radiata,Pinaceae,-10.5693,2.64861,1.147959254,Lugo,ES-GA,> 7 cm
Populus,euramericana,Salicaceae,-12.0573,2.34719,1.179307586,Salamanca,ES-SA,> 7 cm
Fraxinus,NA,Oleaceae,-5.4098,2.84214,1.256173786,Girona,ES-GI,> 7 cm
Pinus,sylvestris,Pinaceae,-15.0469,2.80367,1.267588109,Segovia,ES-SG,> 7 cm
Pinus,sylvestris,Pinaceae,-15.0469,2.80367,1.267588109,Madrid,ES-M,> 7 cm
Ilex,canariensis,Aquifoliaceae,-2.54028,2.75008,1.011223443,Santa Cruz de Tenerife,ES-TF,> 7 cm
Quercus,robur,Fagaceae,-13.2304,2.83512,1.332415252,Lugo,ES-GA,> 7 cm
Quercus,suber,Fagaceae,-6.43076,2.21136,1.179367873,Cadiz,ES-CA,> 7 cm
Pinus,halepensis,Pinaceae,-9.55046,2.61115,1.534782948,Albacete,ES-AB,> 7 cm
Pinus,uncinata,Pinaceae,-4.65925,2.96208,1.227066789,Girona,ES-GI,> 7 cm
Eucalyptus,NA,Myrtaceae,-2.64825,2.61429,1.057040978,Huelva,ES-H,< 2 cm
Quercus,pyrenaica,Fagaceae,-4.85139,2.38766,1.171728485,Caceres,ES-CC,< 2 cm
Ceratonia,siliqua,Fabaceae,-1.81674,2.6254,1.06505868,Malaga,ES-MA,< 2 cm
Ilex,canariensis,Aquifoliaceae,-1.45821,2.76279,1.052608854,Santa Cruz de Tenerife,ES-TF,< 2 cm
Erica,arborea,Ericaceae,-1.21581,2.61609,1.080291791,Santa Cruz de Tenerife,ES-TF,< 2 cm
Myrica,faya,Myricaceae,-1.66978,2.8878,1.038570197,Santa Cruz de Tenerife,ES-TF,< 2 cm
Populus,euramericana,Salicaceae,-2.42121,2.60846,1.117525643,Segovia,ES-SG,< 2 cm
Betula,NA,Betulaceae,-2.65716,2.64983,1.072149215,Lugo,ES-GA,< 2 cm
Pinus,sylvestris,Pinaceae,-2.08375,2.51001,1.150756166,Segovia,ES-SG,< 2 cm
Pinus,pinaster,Pinaceae,-4.66658,2.38009,1.149314994,Guadalajara,ES-GU,< 2 cm
Fraxinus,NA,Oleaceae,-1.69368,2.73303,1.13215291,Girona,ES-GI,< 2 cm
Olea,europaea,Oleaceae,-1.56349,2.53326,1.06813902,Cadiz,ES-CA,< 2 cm
Castanea,sativa,Fagaceae,-1.55218,2.69381,1.053691383,Malaga,ES-MA,< 2 cm
Fagus,sylvatica,Fagaceae,-2.57396,2.84345,1.09453534,Cantabria,ES-S,< 2 cm
Quercus,pyrenaica,Fagaceae,-4.85139,2.38766,1.171728485,Segovia,ES-SG,< 2 cm
Laurus,azorica,Lauraceae,-2.2519,2.09193,1.069339285,Santa Cruz de Tenerife,ES-TF,< 2 cm
Alnus,glutinosa,Betulaceae,-2.40443,2.44591,1.143880363,Girona,ES-GI,< 2 cm
Pinus,radiata,Pinaceae,-3.53532,2.75877,1.208974349,Lugo,ES-GA,< 2 cm
Quercus,ilex,Fagaceae,-2.66407,2.97498,1.098708581,Caceres,ES-CC,< 2 cm
Quercus,faginea,Fagaceae,-3.44735,2.96728,1.053875234,Guadalajara,ES-GU,< 2 cm
Quercus,robur,Fagaceae,-2.47029,2.62158,1.056265034,Lugo,ES-GA,< 2 cm
Fagus,sylvatica,Fagaceae,-2.57396,2.84345,1.09453534,Navarra,ES-NC,< 2 cm
Pinus,uncinata,Pinaceae,-2.63317,2.79147,1.115730849,Girona,ES-GI,< 2 cm
Pinus,halepensis,Pinaceae,-2.74498,2.03748,1.02592883,Albacete,ES-AB,< 2 cm
Abies,pinsapo,Pinaceae,-0.860115,2.36973,1.170015264,Malaga,ES-MA,< 2 cm
Quercus,pyrenaica,Fagaceae,-4.85139,2.38766,1.171728485,La Rioja,ES-LO,< 2 cm
Populus,euramericana,Salicaceae,-2.42121,2.60846,1.117525643,Soria,ES-SO,< 2 cm
Pinus,pinaster,Pinaceae,-4.66658,2.38009,1.149314994,Ciudad Real,ES-CR,< 2 cm
Fraxinus,NA,Oleaceae,-1.69368,2.73303,1.13215291,Cadiz,ES-CA,< 2 cm
Castanea,sativa,Fagaceae,-1.55218,2.69381,1.053691383,Caceres,ES-CC,< 2 cm
Juniperus,thurifera,Cupressaceae,-2.4053,2.68286,1.051075235,Guadalajara,ES-GU,< 2 cm
Pinus,sylvestris,Pinaceae,-2.08375,2.51001,1.150756166,Madrid,ES-M,< 2 cm
Pinus,canariensis,Pinaceae,-5.07419,2.59996,1.168880657,Santa Cruz de Tenerife,ES-TF,< 2 cm
Populus,euramericana,Salicaceae,-2.42121,2.60846,1.117525643,Salamanca,ES-SA,< 2 cm
Pinus,pinea,Pinaceae,-2.55308,2.93944,1.123183226,Huelva,ES-H,< 2 cm
Quercus,canariensis,Fagaceae,-3.20772,2.66513,1.178640518,Cadiz,ES-CA,< 2 cm
Quercus,pyrenaica,Fagaceae,-4.85139,2.38766,1.171728485,Madrid,ES-M,< 2 cm
Quercus,ilex,Fagaceae,-2.66407,2.97498,1.098708581,Madrid,ES-M,< 2 cm
Pinus,nigra,Pinaceae,-2.83503,2.04538,1.022469572,Guadalajara,ES-GU,< 2 cm
Quercus,suber,Fagaceae,-5.33638,2.10315,1.328902968,Cadiz,ES-CA,< 2 cm
Pinus,pinea,Pinaceae,-2.55308,2.93944,1.123183226,Valladolid,ES-VA,< 2 cm
Quercus,ilex,Fagaceae,-2.66407,2.97498,1.098708581,Toledo,ES-TO,< 2 cm
